YIL,BÖLGE KODU,BÖLGE ADI,Net Göç Hýzý (Binde),Göç Alan,Genel ortaöðretim / Derslik,Yüzbin kiþi baþýna toplam hastane yatak sayýsý,Trafik suçlarýndan hüküm giyenlerin sayýsý,Otomobil sayýsý,Ýnþaat giriþimi sayýsý,Toplam nüfus
2018,TR100,Istanbul,-13.86,0,19,253,375,2813027,69535,15029231
2018,TR211,Tekirdag,12.59,1,22,273,82,140986,4204,1005463
2018,TR212,Edirne,3.97,1,19,470,53,67737,1343,406855
2018,TR213,Kirklareli,6.09,1,21,248,20,59561,1144,356050
2018,TR221,Balikesir,12.48,1,21,275,180,202033,3897,1204824
2018,TR222,Çanakkale,15.67,1,20,257,37,89499,2035,530417
2018,TR310,Izmir,3.01,1,20,279,500,739809,16755,4279677
2018,TR321,Aydin,9.65,1,19,287,132,177720,4753,1080839
2018,TR322,Denizli,-0.84,0,18,320,102,190469,3546,1018735
2018,TR323,Mugla,19.14,1,19,215,174,200676,4284,938751
2018,TR331,Manisa,1.49,1,20,313,158,213186,4214,1413041
2018,TR332,Afyonkarahisar,2.66,1,18,303,49,86925,1798,715693
2018,TR333,Kütahya,3.8,1,18,312,28,105971,1381,572256
2018,TR334,Usak,1.85,1,22,338,25,65804,1194,364971
2018,TR411,Bursa,0.29,1,18,241,255,473250,8969,2936803
2018,TR412,Eskisehir,3.51,1,22,357,119,162666,3121,860620
2018,TR413,Bilecik,-2.86,0,20,144,27,32763,502,221693
2018,TR421,Kocaeli,0.26,1,23,225,106,223723,7173,1883270
2018,TR422,Sakarya,4.91,1,23,198,88,144049,2997,990214
2018,TR423,Düzce,12.07,1,26,184,42,55537,992,377610
2018,TR424,Bolu,11.22,1,20,484,72,55639,801,303184
2018,TR425,Yalova,12.77,1,25,226,30,35344,1201,251203
2018,TR510,Ankara,-6.77,0,18,338,314,1376928,30368,5445026
2018,TR521,Konya,-1.03,0,19,322,140,346270,6009,2180149
2018,TR522,Karaman,9.29,1,18,240,52,35809,795,246672
2018,TR611,Antalya,6.44,1,20,286,363,477336,10902,2364396
2018,TR612,Isparta,21.07,1,22,456,82,79589,1202,433830
2018,TR613,Burdur,10.73,1,22,273,52,54717,818,264779
2018,TR621,Adana,-8.51,0,23,325,126,321865,4733,2216475
2018,TR622,Mersin,-3.38,0,22,252,228,264937,4842,1793931
2018,TR631,Hatay,-3.82,0,21,252,76,202818,3256,1575226
2018,TR632,Kahramanmaras,-0.04,0,22,257,54,124832,2445,1127623
2018,TR633,Osmaniye,-1.75,0,23,241,33,76330,907,527724
2018,TR711,Kirikkale,19.37,1,15,464,32,43121,674,278749
2018,TR712,Aksaray,5.45,1,19,179,11,61850,981,402404
2018,TR713,Nigde,19.32,1,21,245,42,44601,750,352727
2018,TR714,Nevsehir,2.7,1,20,238,54,50568,835,292365
2018,TR715,Kirsehir,15.38,1,21,201,15,38108,668,234529
2018,TR721,Kayseri,-6.71,0,21,300,84,228920,3884,1376722
2018,TR722,Sivas,30.76,1,20,421,39,81895,1864,621301
2018,TR723,Yozgat,7.54,1,18,281,23,49003,1013,418650
2018,TR811,Zonguldak,0.43,1,22,359,74,93843,1201,596892
2018,TR812,Karabük,3.84,1,19,272,14,41755,801,244453
2018,TR813,Bartin,23.31,1,22,223,32,28571,469,193577
2018,TR821,Kastamonu,23.16,1,25,289,18,62440,1037,372373
2018,TR822,Çankiri,138.51,1,19,250,4,22016,377,186074
2018,TR823,Sinop,51.96,1,18,258,19,31088,566,207427
2018,TR831,Samsun,3.51,1,22,349,128,163273,3832,1312990
2018,TR832,Tokat,8.3,1,19,356,37,77527,1194,602086
2018,TR833,Çorum,7.77,1,20,294,69,81228,1742,528422
2018,TR834,Amasya,4.52,1,21,229,44,56742,700,329888
2018,TR901,Trabzon,16.53,1,21,413,58,100479,2606,786326
2018,TR902,Ordu,32.47,1,18,279,63,70202,1695,742341
2018,TR903,Giresun,32.25,1,20,354,45,41056,978,437393
2018,TR904,Rize,43.53,1,18,331,11,32783,916,331041
2018,TR905,Artvin,41.4,1,21,208,5,15473,469,166143
2018,TR906,Gümüshane,47.61,1,21,183,11,10326,321,170173
2018,TRA11,Erzurum,-3.81,0,21,475,21,57713,1644,760476
2018,TRA12,Erzincan,9.43,1,19,213,19,27155,597,231511
2018,TRA13,Bayburt,20.61,1,19,249,1,6412,168,80417
2018,TRA21,Agri,-17.25,0,26,160,3,10183,652,536285
2018,TRA22,Kars,-7.51,0,22,267,15,11963,438,287654
2018,TRA23,Igdir,-4.53,0,27,161,13,6500,213,194775
2018,TRA24,Ardahan,9.81,1,19,180,12,3914,124,97096
2018,TRB11,Malatya,2.09,1,22,377,24,87776,1964,786676
2018,TRB12,Elazig,9.77,1,24,473,26,67192,2063,583671
2018,TRB13,Bingöl,12.72,1,23,256,5,7320,1139,273354
2018,TRB14,Tunceli,62.28,1,13,182,4,3293,257,82498
2018,TRB21,Van,-9.09,0,26,261,14,27942,1933,1106891
2018,TRB22,Mus,-12.29,0,24,182,3,9107,750,404544
2018,TRB23,Bitlis,0.58,1,25,271,4,7744,804,341474
2018,TRB24,Hakkari,9.12,1,26,143,1,2104,361,275761
2018,TRC11,Gaziantep,-8.59,0,25,293,46,221351,3753,2005515
2018,TRC12,Adiyaman,-1.38,0,26,214,9,46735,1100,615076
2018,TRC13,Kilis,13.65,1,21,235,12,10702,247,136319
2018,TRC21,Sanliurfa,-6.02,0,22,200,20,95819,3218,1985753
2018,TRC22,Diyarbakir,-4.02,0,24,263,50,51186,3234,1699901
2018,TRC31,Mardin,-1.83,0,23,179,12,22992,1252,809719
2018,TRC32,Batman,0.96,1,25,225,2,14961,1144,585252
2018,TRC33,Sirnak,8.23,1,20,125,5,4085,358,503236
2018,TRC34,Siirt,-2.14,0,22,258,2,7156,607,324394
